title,link,summary,publisher,reporter,signal,collected_at
[다음주 경제] 4월 취업자 얼마나 늘었나…KDI 경제전망도 관심,https://www.yna.co.kr/view/AKR20260509014400002?input=1195m,"Region: 대한민국
Keyword: 취업자 수, 경제 전망
Signal: FLAT

4월 취업자 수 증가폭과 KDI의 경제 전망 발표가 다음 주 경제 흐름을 가늠할 주요 변수가 될 것으로 보입니다.",연합뉴스,Unknown,FLAT,2026-05-09 04:01
코스피 시총 6143조…전국 아파트 시총과 나란히,https://www.sedaily.com/article/20041998?ref=naver,"Region: 대한민국
Keyword: 코스피, 아파트 시가총액
Signal: FLAT

한국 주식 시장의 시가총액과 전국 아파트 시장의 총액이 비슷한 규모를 기록하며, 이는 두 시장의 중요성을 동시에 시사합니다.",Unknown,Unknown,FLAT,2026-05-09 04:01
골드만삭스 “코스피 9000 간다”…목표 또 상향,https://www.sedaily.com/article/20042001?ref=naver,"[필수형식]
Region: 한국
Keyword: 코스피, 골드만삭스, 목표 상향
Signal: BULL

골드만삭스가 코스피 목표치를 9000으로 또 상향 조정하며 강세 전망을 내놓았습니다. 이는 한국 증시에 대한 긍정적인 전망을 시사합니다.",Unknown,Unknown,BULL,2026-05-09 04:00
"한국 경제 지표 발표 주간, 고용·물가·대출 흐름 주목",https://www.tokenpost.kr/news/economy/357864,"Region: 한국
Keyword: 경제 지표, 고용, 물가, 대출
Signal: FLAT",토큰포스트,Unknown,FLAT,2026-05-09 03:59
4월 서울 아파트 거래량 5789건…양도세 중과 앞두고 거래 급증,https://www.mt.co.kr/estate/2026/05/09/2026050815361831596,"Region: 서울
Keyword: 아파트 거래량, 양도세 중과
Signal: BULL

4월 서울 아파트 거래량이 5,789건으로 집계되며, 양도세 중과를 앞두고 매수세가 몰려 거래량이 급증했습니다. 이는 단기적인 양도세 부담 회피 심리가 반영된 결과로 해석됩니다.",머니투데이,Unknown,BULL,2026-05-09 03:58
"[슬금슬금] '국민리츠'JR글로벌리츠 , 벨기에 정부가 월세 내는데 왜 흔...",http://www.the-biz.co.kr/news/articleView.html?idxno=720190,"Region: 벨기에
Keyword: JR글로벌리츠, 벨기에 정부, 월세
Signal: FLAT

**요약:**

JR글로벌리츠가 벨기에 정부로부터 월세를 받고 있음에도 불구하고, 부동산 시장의 불확실성으로 인해 임대료 인상에 어려움을 겪고 있다. 이는 리츠의 수익성에 영향을 미칠 수 있는 요인으로 분석된다.",THE Biz(더비즈),Unknown,FLAT,2026-05-09 03:57
부산 아파트값 강보합세…전셋값 22개월째 상승,https://biz.sbs.co.kr/article_hub/20000309230?division=NAVER,"Region: 부산
Keyword: 아파트값 강보합세, 전셋값 상승
Signal: BULL

부산 아파트 매매가격이 강보합세를 이어가고 있으며, 전셋값은 22개월 연속 상승세를 기록하고 있습니다. 이는 지역 내 주택 수요가 꾸준히 유지되고 있음을 시사합니다.",Unknown,Unknown,BULL,2026-05-09 03:57
"[정책 인터뷰] 정이한 개혁신당 부산시장 후보 &quot;부산, 남부권 견인하는...",http://www.ikld.kr/news/articleView.html?idxno=334048,"Region: 부산
Keyword: 부동산 정책, 남부권 경제 발전
Signal: BULL

개혁신당 부산시장 후보 정이한은 부산을 남부권 경제 발전의 견인차로 만들겠다는 포부를 밝히며, 이를 위한 부동산 정책 공약을 제시했습니다. 이는 지역 경제 활성화와 부동산 시장의 긍정적인 영향을 기대하게 합니다.",Unknown,Unknown,BULL,2026-05-09 03:56
양도세 유예 종료 앞둔 서울 아파트 시장…6~7월 매물 부족 우려,http://www.segyebiz.com/newsView/20260509503840?OutUrl=naver,"Region: 서울
Keyword: 양도세 유예 종료, 매물 부족 우려
Signal: BEAR

양도세 유예 종료를 앞두고 6~7월 서울 아파트 시장에서 매물 부족이 예상됩니다. 이는 매도자들이 양도세 부담을 줄이기 위해 매물을 거두어들일 가능성이 높기 때문입니다.",양도세 유예 종료 앞둔 서울 아파트 시장…6~7월 매물 부족 우려,Unknown,BEAR,2026-05-09 03:50
"6년 최고 찍은 서울 전셋값 상승률…&quot;더 오른다&quot; 전망, 왜?",https://www.mt.co.kr/estate/2026/05/09/2026050814315835535,"Region: 서울
Keyword: 전셋값 상승
Signal: BULL

6년 만에 최고치를 기록한 서울 전셋값 상승률은 당분간 더 오를 것으로 전망됩니다.",머니투데이,Unknown,BULL,2026-05-09 03:50
